"127-9";"Proporciones";"P1012020";"2019-12-19 15:02:31";"2019-12-19 15:12:50";"terminado";"NULL";"92";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W1A3";"2019-12-19 15:17:13";"2019-12-19 15:18:11";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W1A3|0|1-2-3-5-6-7-9-10-11-12-14-16-|12|16|0|4|"
"127-9";"Naturales";"W1Z2";"2019-12-19 15:16:41";"2019-12-19 15:16:41";"terminado";"NULL";"80";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W2A3";"2019-12-19 15:26:52";"2019-12-19 15:27:45";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W2A3|0|1-2-3-4-5-7-9-10-11-12-14-16-|12|16|0|4|"
"127-9";"Naturales";"W2Z2";"2019-12-19 15:26:42";"2019-12-19 15:26:42";"terminado";"NULL";"75";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W3A3";"2019-12-19 15:44:45";"2019-12-19 15:45:53";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W3A3|0|1-2-4-5-6-7-9-10-11-12-13-14-|12|16|0|4|"
"127-9";"Naturales";"W3Z2";"2019-12-19 15:44:28";"2019-12-19 15:44:28";"terminado";"NULL";"85";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W4A3";"2019-12-19 15:49:36";"2019-12-19 15:50:31";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W4A3|0|1-2-3-5-6-7-9-10-11-12-13-15-|12|16|0|4|"
"127-9";"Naturales";"W4Z2";"2019-12-19 15:49:24";"2019-12-19 15:49:24";"terminado";"NULL";"75";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W5A3";"2019-12-19 15:53:21";"2019-12-19 15:54:25";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W5A3|0|2-3-4-5-6-7-10-11-12-14-15-16-|12|16|0|4|"
"127-9";"Naturales";"W5Z2";"2019-12-19 15:53:08";"2019-12-19 15:53:08";"terminado";"NULL";"45";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"W6A3";"2019-12-19 15:55:35";"2019-12-19 15:56:30";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"W6A3|0|1-2-3-4-5-7-9-10-11-12-13-15-|12|16|0|4|"
"127-9";"Naturales";"W6Z2";"2019-12-19 15:55:23";"2019-12-19 15:55:23";"terminado";"NULL";"78";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y1A3";"2019-12-19 15:51:33";"2019-12-19 15:52:24";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"Y1A3|0|1-2-4-6-7-8-9-11-12-13-15-16-|12|16|0|4|"
"127-9";"Naturales";"Y1Z2";"2019-12-19 15:51:23";"2019-12-19 15:51:23";"terminado";"NULL";"65";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y2A3";"2019-12-19 15:47:13";"2019-12-19 15:48:41";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"Y2A3|0|1-2-4-5-6-8-9-10-11-12-13-14-|12|16|0|4|"
"127-9";"Naturales";"Y2Z2";"2019-12-19 15:47:02";"2019-12-19 15:47:02";"terminado";"NULL";"88";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y3A3";"2019-12-19 15:42:38";"2019-12-19 15:43:42";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"Y3A3|0|1-3-4-5-6-7-9-10-11-12-13-15-|12|16|0|4|"
"127-9";"Naturales";"Y3Z2";"2019-12-19 15:42:25";"2019-12-19 15:42:25";"terminado";"NULL";"85";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y4A3";"2019-12-19 15:40:10";"2019-12-19 15:41:17";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"Y4A3|0|1-2-3-4-5-6-9-10-11-12-14-15-|12|16|0|4|"
"127-9";"Naturales";"Y4Z2";"2019-12-19 15:30:45";"2019-12-19 15:30:45";"terminado";"NULL";"84";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y5A3";"2019-12-19 15:29:01";"2019-12-19 15:29:54";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";"Y5A3|0|1-2-3-4-5-6-9-10-11-12-13-14-|12|16|0|4|"
"127-9";"Naturales";"Y5Z2";"2019-12-19 15:28:46";"2019-12-19 15:28:46";"terminado";"NULL";"80";"NULL";"NULL";"NULL";"1";"1";""
"127-9";"Naturales";"Y6A3";"2019-12-19 15:19:53";"2019-12-19 15:21:05";"terminado";"NULL";"19";"NULL";"NULL";"NULL";"1";"1";"Y6A3|0|1-2-3-4-7-8-9-10-11-12-13-14-15-|13|16|0|3|"
"127-9";"Naturales";"Y6Z2";"2019-12-19 15:19:38";"2019-12-19 15:19:38";"terminado";"NULL";"80";"NULL";"NULL";"NULL";"1";"1";""
"20-5";"Proporciones";"P1012020";"2019-12-23 15:09:34";"2019-12-23 15:11:45";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";""
"45-0";"Proporciones";"P1012020";"2019-12-23 13:20:04";"2019-12-23 13:22:10";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";""
"45-0";"Proporciones";"P1032019E";"2019-12-23 15:20:10";"NULL";"iniciado";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"0";"NULL"
"48-5";"Proporciones";"P1012020";"2019-12-23 13:23:46";"2019-12-23 13:27:34";"terminado";"NULL";"50";"NULL";"NULL";"NULL";"1";"1";""
"52-3";"Proporciones";"P1012020";"2019-12-23 13:31:18";"2019-12-23 13:34:14";"terminado";"NULL";"25";"NULL";"NULL";"NULL";"1";"1";""
"54-k";"Proporciones";"P1012020";"2019-12-23 13:36:38";"2019-12-23 13:38:59";"terminado";"NULL";"58";"NULL";"NULL";"NULL";"1";"1";""
